title,media,date,datetime,desc,link,img,publisher
"Right-wing violence is rising at an alarming rate, warn German victim support groups",Euronews.com,4 hours ago,2024-05-30 17:48:35.529766,"Violence against politicians has been dominating the headlines, but instances of everyday racism and anti-Semitic attacks are causing German victim advice...",https://www.euronews.com/my-europe/2024/05/30/right-wing-violence-is-rising-at-an-alarming-rate-warn-german-victim-support-groups&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBhAC&usg=AOvVaw0PcoMwg91o8LJcgsjUBYI3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
European users alerted that Meta will use public posts to train AI,Euronews.com,6 hours ago,2024-05-30 15:48:35.544711,"Facebook and Instagram's parent company will soon use public posts “to help develop and improve AI,” European users were told.",https://www.euronews.com/next/2024/05/30/meta-will-soon-use-your-public-posts-to-train-its-ai-can-you-prevent-it&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQICRAC&usg=AOvVaw0Dr8IkfRhd6Fifqsr85ALB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Forever chemicals: Report finds 'alarming' levels of groundwater contamination in Europe,Euronews.com,6 hours ago,2024-05-30 15:48:35.555964,Samples have revealed high levels of Trifluoroacetic acid in ten European countries' water supplies.,https://www.euronews.com/my-europe/2024/05/30/forever-chemicals-report-finds-alarming-levels-of-groundwater-contamination-in-europe&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIAhAC&usg=AOvVaw2_UYM43B_SFQcKt561NJPn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Slovenian government recognises Palestinian state pending parliament approval,Euronews.com,6 hours ago,2024-05-30 15:48:35.566818,"The small Alpine country's parliament must still ratify the decision, but it's widely seen as a formality, as none of the parliamentary parties in the...",https://www.euronews.com/my-europe/2024/05/30/slovenian-government-recognises-palestinian-state-pending-parliament-approval&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBxAC&usg=AOvVaw1NB0jV78PWeR4TD26zb1h7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Meet the young European climate activists running in the EU elections,Euronews.com,7 hours ago,2024-05-30 14:48:35.578071,A generation of young Europeans that became activists while still at school is now of age to take up positions in political office.,https://www.euronews.com/green/2024/05/30/young-green-and-european-meet-the-new-generation-of-eco-activists-running-in-the-eu-electi&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBBAC&usg=AOvVaw1d6LD-jZt1fX8Sygr3bK69,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
EU elections: Where do parties stand on anti-discrimination policies?,Euronews.com,7 hours ago,2024-05-30 14:48:35.591107,Only two of the European Parliaments seven political parties explicitly call for the swift adoption of a stalled directive to combat discrimination ahead of...,https://www.euronews.com/my-europe/2024/05/30/eu-elections-where-do-parties-stand-on-anti-discrimination-policies&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQICBAC&usg=AOvVaw0H_N7KVLMlr7D_7oSw18gv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Spanish inflation rises for third consecutive month as energy costs climb,Euronews.com,8 hours ago,2024-05-30 13:48:35.603292,"A jump in electricity prices linked to higher VAT rates is pushing up inflation in Spain. Upticks are being seen across the eurozone, although the causes...",https://www.euronews.com/business/2024/05/30/spanish-inflation-rises-for-third-consecutive-month-as-energy-costs-climb&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIARAC&usg=AOvVaw0bI_ZluTnl2_sRQ25ZQdHD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
NATO foreign ministers discuss restrictions on Ukraine using their weapons to attack Russia,Euronews.com,9 hours ago,2024-05-30 12:48:35.617643,"The alliance's leaders are concerned that Russia is gaining an edge, but are unsure whether to allow Ukraine to hit back beyond its borders.",https://www.euronews.com/my-europe/2024/05/30/nato-foreign-ministers-discuss-restrictions-on-ukraine-using-their-weapons-to-attack-russi&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIAxAC&usg=AOvVaw1aez1Ci7t80PgGVgPruNIs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Watch Live: Volcano on Iceland’s Reykjanes peninsula erupts,YouTube,9 hours ago,2024-05-30 12:48:35.630643,"A volcano in southwestern Iceland erupted Wednesday for the fifth time since December, spewing red lava that once again threatened the coastal town of...",https://www.youtube.com/watch%3Fv%3DMjBeCs3mASU&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIABAC&usg=AOvVaw2cPW-O4ed_ZjHsjKGSgcWl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Eurozone unemployment hits record low a week before ECB rate decision,Euronews.com,9 hours ago,2024-05-30 12:48:35.642072,"Falling unemployment could point to a brightening European outlook, with the Euro Area economic sentiment improving as well.",https://www.euronews.com/business/2024/05/30/eurozone-unemployment-hits-record-low-a-week-before-ecb-rate-decision&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBRAC&usg=AOvVaw0xfssBA3NtSgFJKGtnseLo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
"Right-wing violence is rising at an alarming rate, warn German victim support groups",Euronews.com,4 hours ago,2024-05-30 17:48:35.060795,"Violence against politicians has been dominating the headlines, but instances of everyday racism and anti-Semitic attacks are causing German victim advice...",https://www.euronews.com/my-europe/2024/05/30/right-wing-violence-is-rising-at-an-alarming-rate-warn-german-victim-support-groups&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBxAC&usg=AOvVaw0dHIE9oVnSH4A6d8F-L1kU,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
European users alerted that Meta will use public posts to train AI,Euronews.com,6 hours ago,2024-05-30 15:48:35.072985,"Facebook and Instagram's parent company will soon use public posts “to help develop and improve AI,” European users were told.",https://www.euronews.com/next/2024/05/30/meta-will-soon-use-your-public-posts-to-train-its-ai-can-you-prevent-it&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQICRAC&usg=AOvVaw1kS9EJIpRvuw7X0HPsxFO6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Forever chemicals: Report finds 'alarming' levels of groundwater contamination in Europe,Euronews.com,6 hours ago,2024-05-30 15:48:35.084598,Samples have revealed high levels of Trifluoroacetic acid in ten European countries' water supplies.,https://www.euronews.com/my-europe/2024/05/30/forever-chemicals-report-finds-alarming-levels-of-groundwater-contamination-in-europe&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQICBAC&usg=AOvVaw1c5Gs_fkMbNccKck37wsO0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Slovenian government recognises Palestinian state pending parliament approval,Euronews.com,6 hours ago,2024-05-30 15:48:35.096099,"The small Alpine country's parliament must still ratify the decision, but it's widely seen as a formality, as none of the parliamentary parties in the...",https://www.euronews.com/my-europe/2024/05/30/slovenian-government-recognises-palestinian-state-pending-parliament-approval&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIABAC&usg=AOvVaw301gNyUyi6qc_6EWBQuDqZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Meet the young European climate activists running in the EU elections,Euronews.com,7 hours ago,2024-05-30 14:48:35.107861,A generation of young Europeans that became activists while still at school is now of age to take up positions in political office.,https://www.euronews.com/green/2024/05/30/young-green-and-european-meet-the-new-generation-of-eco-activists-running-in-the-eu-electi&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIAhAC&usg=AOvVaw3urEw6U-oTI7mVkQ_0dvvB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
EU elections: Where do parties stand on anti-discrimination policies?,Euronews.com,7 hours ago,2024-05-30 14:48:35.119325,Only two of the European Parliaments seven political parties explicitly call for the swift adoption of a stalled directive to combat discrimination ahead of...,https://www.euronews.com/my-europe/2024/05/30/eu-elections-where-do-parties-stand-on-anti-discrimination-policies&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIARAC&usg=AOvVaw2z9z4w4tcVM8s-dgeyMPFz,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Spanish inflation rises for third consecutive month as energy costs climb,Euronews.com,8 hours ago,2024-05-30 13:48:35.130602,"A jump in electricity prices linked to higher VAT rates is pushing up inflation in Spain. Upticks are being seen across the eurozone, although the causes...",https://www.euronews.com/business/2024/05/30/spanish-inflation-rises-for-third-consecutive-month-as-energy-costs-climb&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIAxAC&usg=AOvVaw0R-_9aRL8-pI2ICpyA_zO3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
NATO foreign ministers discuss restrictions on Ukraine using their weapons to attack Russia,Euronews.com,9 hours ago,2024-05-30 12:48:35.142382,"The alliance's leaders are concerned that Russia is gaining an edge, but are unsure whether to allow Ukraine to hit back beyond its borders.",https://www.euronews.com/my-europe/2024/05/30/nato-foreign-ministers-discuss-restrictions-on-ukraine-using-their-weapons-to-attack-russi&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBRAC&usg=AOvVaw3bL1R9ipmOX6xgwVK7_ZFm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Watch Live: Volcano on Iceland’s Reykjanes peninsula erupts,YouTube,9 hours ago,2024-05-30 12:48:35.153819,"A volcano in southwestern Iceland erupted Wednesday for the fifth time since December, spewing red lava that once again threatened the coastal town of...",https://www.youtube.com/watch%3Fv%3DMjBeCs3mASU&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBBAC&usg=AOvVaw33gs-MoRvB6A7fekq5q86P,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Eurozone unemployment hits record low a week before ECB rate decision,Euronews.com,9 hours ago,2024-05-30 12:48:35.165073,"Falling unemployment could point to a brightening European outlook, with the Euro Area economic sentiment improving as well.",https://www.euronews.com/business/2024/05/30/eurozone-unemployment-hits-record-low-a-week-before-ecb-rate-decision&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBhAC&usg=AOvVaw0r-iZLFbWkrzDdNuXeL7rp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
"Right-wing violence is rising at an alarming rate, warn German victim support groups",Euronews.com,4 hours ago,2024-05-30 17:48:35.529766,"Violence against politicians has been dominating the headlines, but instances of everyday racism and anti-Semitic attacks are causing German victim advice...",https://www.euronews.com/my-europe/2024/05/30/right-wing-violence-is-rising-at-an-alarming-rate-warn-german-victim-support-groups&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBhAC&usg=AOvVaw0PcoMwg91o8LJcgsjUBYI3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
European users alerted that Meta will use public posts to train AI,Euronews.com,6 hours ago,2024-05-30 15:48:35.544711,"Facebook and Instagram's parent company will soon use public posts “to help develop and improve AI,” European users were told.",https://www.euronews.com/next/2024/05/30/meta-will-soon-use-your-public-posts-to-train-its-ai-can-you-prevent-it&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQICRAC&usg=AOvVaw0Dr8IkfRhd6Fifqsr85ALB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Forever chemicals: Report finds 'alarming' levels of groundwater contamination in Europe,Euronews.com,6 hours ago,2024-05-30 15:48:35.555964,Samples have revealed high levels of Trifluoroacetic acid in ten European countries' water supplies.,https://www.euronews.com/my-europe/2024/05/30/forever-chemicals-report-finds-alarming-levels-of-groundwater-contamination-in-europe&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIAhAC&usg=AOvVaw2_UYM43B_SFQcKt561NJPn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Slovenian government recognises Palestinian state pending parliament approval,Euronews.com,6 hours ago,2024-05-30 15:48:35.566818,"The small Alpine country's parliament must still ratify the decision, but it's widely seen as a formality, as none of the parliamentary parties in the...",https://www.euronews.com/my-europe/2024/05/30/slovenian-government-recognises-palestinian-state-pending-parliament-approval&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBxAC&usg=AOvVaw1NB0jV78PWeR4TD26zb1h7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Meet the young European climate activists running in the EU elections,Euronews.com,7 hours ago,2024-05-30 14:48:35.578071,A generation of young Europeans that became activists while still at school is now of age to take up positions in political office.,https://www.euronews.com/green/2024/05/30/young-green-and-european-meet-the-new-generation-of-eco-activists-running-in-the-eu-electi&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBBAC&usg=AOvVaw1d6LD-jZt1fX8Sygr3bK69,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
EU elections: Where do parties stand on anti-discrimination policies?,Euronews.com,7 hours ago,2024-05-30 14:48:35.591107,Only two of the European Parliaments seven political parties explicitly call for the swift adoption of a stalled directive to combat discrimination ahead of...,https://www.euronews.com/my-europe/2024/05/30/eu-elections-where-do-parties-stand-on-anti-discrimination-policies&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQICBAC&usg=AOvVaw0H_N7KVLMlr7D_7oSw18gv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Spanish inflation rises for third consecutive month as energy costs climb,Euronews.com,8 hours ago,2024-05-30 13:48:35.603292,"A jump in electricity prices linked to higher VAT rates is pushing up inflation in Spain. Upticks are being seen across the eurozone, although the causes...",https://www.euronews.com/business/2024/05/30/spanish-inflation-rises-for-third-consecutive-month-as-energy-costs-climb&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIARAC&usg=AOvVaw0bI_ZluTnl2_sRQ25ZQdHD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
NATO foreign ministers discuss restrictions on Ukraine using their weapons to attack Russia,Euronews.com,9 hours ago,2024-05-30 12:48:35.617643,"The alliance's leaders are concerned that Russia is gaining an edge, but are unsure whether to allow Ukraine to hit back beyond its borders.",https://www.euronews.com/my-europe/2024/05/30/nato-foreign-ministers-discuss-restrictions-on-ukraine-using-their-weapons-to-attack-russi&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIAxAC&usg=AOvVaw1aez1Ci7t80PgGVgPruNIs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Watch Live: Volcano on Iceland’s Reykjanes peninsula erupts,YouTube,9 hours ago,2024-05-30 12:48:35.630643,"A volcano in southwestern Iceland erupted Wednesday for the fifth time since December, spewing red lava that once again threatened the coastal town of...",https://www.youtube.com/watch%3Fv%3DMjBeCs3mASU&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIABAC&usg=AOvVaw2cPW-O4ed_ZjHsjKGSgcWl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Eurozone unemployment hits record low a week before ECB rate decision,Euronews.com,9 hours ago,2024-05-30 12:48:35.642072,"Falling unemployment could point to a brightening European outlook, with the Euro Area economic sentiment improving as well.",https://www.euronews.com/business/2024/05/30/eurozone-unemployment-hits-record-low-a-week-before-ecb-rate-decision&ved=2ahUKEwir_cehrbaGAxXKEVkFHREyCrUQxfQBegQIBRAC&usg=AOvVaw0xfssBA3NtSgFJKGtnseLo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
"Girls are getting their periods at younger ages compared to past generations, study finds",Euronews.com,0 hours ago,2024-05-30 21:48:36.040518,"A recent study found that girls are starting menstruation earlier and experiencing more irregular cycles, which could be influenced by factors like obesity...",https://www.euronews.com/health/2024/05/30/girls-are-getting-their-periods-at-younger-ages-compared-to-past-generations-study-finds&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgHEAI&usg=AOvVaw0sjpGarbao42aeKhysudwE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Battle of the billionaires: Arnault loses out to Bezos for world's richest man title,Euronews.com,0 hours ago,2024-05-30 21:48:36.042348,"Bernard Arnault, head of luxury group LVMH, has lost his position as a result of the reorganisation of his company and subsequent stock market concerns,...",https://www.euronews.com/business/2024/05/30/battle-of-the-billionaires-arnault-loses-out-to-bezos-for-worlds-richest-man-title&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgJEAI&usg=AOvVaw0o2Snbs5SA_R29YvYUFSYH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
EPP-ECR conservative coalition project could break down in Poland,Euronews.com,0 hours ago,2024-05-30 21:48:36.044013,"According to the Euronews Super Poll, Polish conservative forces are to win the European elections in the Eastern European country.",https://www.euronews.com/2024/05/30/epp-ecr-conservative-coalition-project-could-break-down-in-poland&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgAEAI&usg=AOvVaw2Cuy-_kpAHK6j3ecBVDs5V,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
"No matter how hard you try, you just can't beat real meat",Euronews.com,1 hours ago,2024-05-30 20:48:36.045584,"At this point it looks like most of our protein will be sourced from animals for some time to come, whether we like it or not, as it has for the past 100000...",https://www.euronews.com/culture/2024/05/30/no-matter-how-hard-you-try-you-just-cant-beat-real-meat&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgFEAI&usg=AOvVaw2LY5BcVl1O4-Dp1ViqHhhC,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Trans actress sues French far-right politician after transphobic slur,Euronews.com,1 hours ago,2024-05-30 20:48:36.047194,"The actress, who became the first transgender woman to win the Best Actress prize at Cannes, dedicated her award to “all the trans people who are suffering”...",https://www.euronews.com/culture/2024/05/30/trans-actress-karla-sofia-gascon-sues-french-far-right-politician-after-transphobic-remark&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgGEAI&usg=AOvVaw2k2E6Nt9GTvfyaWNEQj7ij,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Who will be next NATO secretary general?,Euronews.com,2 hours ago,2024-05-30 19:48:36.048762,Euronews examines contenders and challenges for the top military post – with Mark Rutte's coronation still not guaranteed.,https://www.euronews.com/my-europe/2024/05/30/who-will-be-next-nato-secretary-general&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgCEAI&usg=AOvVaw1jNnNz7vCvTTTAuBLeJCv8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Spain's parliament gives final approval to amnesty law for Catalonia's separatists,Euronews.com,3 hours ago,2024-05-30 18:48:36.050272,"The measure is supposed to help keep the country's government together, but has infuriated many Spaniards who consider it a blow against the rule of law.",https://www.euronews.com/my-europe/2024/05/30/spains-parliament-expected-to-give-final-approval-to-amnesty-law-for-catalonias-separatist&ved=2ahUKEwjfs-WhrbaGAxUvKFkFHTEZC_k4ChDF9AF6BAgBEAI&usg=AOvVaw3sg_86_4ARI-AjFYFqXaAY,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
